,0
1231,0
1232,1
1233,1
1234,0
1235,0
1236,0
1237,1
1238,0
1239,0
1240,0
1241,1
1242,1
1243,0
1244,1
1245,0
1246,0
1247,1
1248,1
1249,0
1250,0
1251,0
1252,0
1253,1
1254,1
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,1
1262,0
1263,0
1264,1
1265,0
1266,1
1267,1
1268,1
1269,0
1270,1
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,1
1279,1
1280,0
1281,0
1282,0
1283,1
1284,0
1285,0
1286,0
1287,1
1288,1
1289,0
1290,0
1291,1
1292,0
1293,1
1294,1
1295,1
1296,1
1297,0
1298,0
1299,1
1300,0
1301,1
1302,1
1303,0
1304,0
1305,0
1306,1
1307,1
1308,0
1309,0
1310,0
1311,0
1312,1
1313,1
1314,0
1315,1
1316,1
1317,0
1318,0
1319,1
1320,0
1321,0
1322,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,1
1337,0
1338,0
1339,0
1340,1
1341,0
1342,1
1343,1
1344,0
1345,1
1346,1
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,1
1356,1
1357,0
1358,1
1359,1
1360,1
1361,1
1362,0
1363,1
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,0
1377,0
1378,0
1379,1
1380,0
1381,1
1382,0
1383,1
1384,0
1385,1
1386,1
1387,0
1388,0
1389,0
1390,1
1391,1
1392,1
1393,1
1394,0
1395,0
1396,0
1397,0
1398,1
1399,0
1400,1
1401,0
1402,1
1403,0
1404,0
1405,0
1406,0
1407,0
1408,1
1409,0
1410,1
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,1
1419,1
1420,1
1421,0
1422,1
1423,1
1424,1
1425,0
1426,1
1427,1
1428,0
1429,0
1430,1
1431,0
1432,0
1433,1
1434,0
1435,0
1436,1
1437,0
1438,0
1439,0
1440,0
1441,1
1442,1
1443,1
1444,0
1445,1
1446,1
1447,1
1448,1
1449,0
1450,1
1451,0
1452,1
1453,0
1454,1
1455,1
1456,0
1457,1
1458,0
1459,1
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,1
1467,1
1468,1
1469,1
1470,1
1471,0
1472,1
1473,1
1474,0
1475,1
1476,1
1477,0
1478,0
1479,1
1480,0
1481,0
1482,1
1483,1
1484,1
1485,1
1486,0
1487,1
1488,1
1489,1
1490,0
1491,0
1492,0
1493,0
1494,1
1495,0
1496,0
1497,0
1498,1
1499,1
1500,1
1501,1
1502,0
1503,1
1504,0
1505,0
1506,1
1507,1
1508,1
1509,0
1510,1
1511,1
1512,0
1513,0
1514,0
1515,1
1516,0
1517,0
1518,1
1519,0
1520,0
1521,0
1522,1
1523,1
1524,0
1525,0
1526,1
1527,1
1528,0
1529,1
1530,0
1531,1
1532,1
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,1
1542,1
1543,1
1544,0
1545,0
1546,0
1547,1
1548,1
1549,0
1550,0
1551,0
1552,0
1553,0
1554,1
1555,1
1556,0
1557,0
1558,0
1559,1
1560,1
1561,0
1562,1
1563,1
1564,1
1565,0
1566,1
1567,0
1568,1
1569,1
1570,0
1571,1
1572,1
1573,1
1574,1
1575,0
1576,1
1577,0
1578,1
1579,1
1580,1
1581,1
1582,0
1583,0
1584,1
1585,0
1586,1
1587,0
1588,0
1589,0
1590,1
1591,0
1592,0
1593,1
1594,1
1595,1
1596,1
1597,0
1598,1
1599,0
1600,1
1601,0
1602,1
1603,0
1604,0
1605,0
1606,1
1607,0
1608,0
1609,0
1610,0
1611,1
1612,0
1613,1
1614,1
1615,0
1616,0
1617,0
1618,1
1619,0
1620,0
1621,1
1622,1
1623,0
1624,1
1625,1
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,1
1633,1
1634,1
1635,1
1636,0
1637,1
1638,0
1639,0
1640,0
1641,0
1642,0
1643,1
1644,1
1645,1
1646,0
1647,1
1648,0
1649,1
1650,0
1651,0
1652,1
1653,0
1654,0
1655,1
1656,0
1657,1
1658,0
1659,0
1660,0
1661,1
1662,0
1663,1
1664,1
1665,0
1666,1
1667,1
1668,1
1669,1
1670,1
1671,1
1672,0
1673,1
1674,0
1675,0
1676,1
1677,1
1678,0
1679,0
1680,1
1681,0
1682,1
1683,1
1684,0
1685,1
1686,0
1687,1
1688,0
1689,0
1690,0
1691,1
1692,0
1693,1
1694,0
1695,0
1696,1
1697,1
1698,0
1699,0
1700,1
1701,1
1702,1
1703,1
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,1
1714,0
1715,1
1716,0
1717,0
1718,1
1719,1
1720,0
1721,0
1722,1
1723,0
1724,1
1725,0
1726,1
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,1
1734,0
1735,0
1736,0
1737,1
1738,1
1739,0
1740,1
1741,0
1742,1
1743,1
1744,1
1745,0
1746,1
1747,1
1748,0
1749,0
1750,1
1751,1
1752,0
1753,1
1754,0
1755,0
1756,0
1757,0
1758,0
1759,1
1760,0
1761,1
1762,0
1763,0
1764,1
1765,0
1766,1
1767,1
1768,0
1769,1
1770,1
1771,0
1772,0
1773,1
1774,1
1775,1
1776,1
1777,0
1778,1
1779,0
1780,0
1781,0
1782,1
1783,0
1784,0
1785,0
1786,1
1787,1
1788,0
1789,1
1790,1
1791,1
1792,0
1793,0
1794,1
1795,0
1796,1
1797,1
1798,1
1799,0
1800,0
1801,0
1802,1
1803,1
1804,0
1805,1
1806,1
1807,1
1808,0
1809,0
1810,1
1811,0
1812,1
1813,1
1814,1
1815,0
1816,1
1817,0
1818,1
1819,1
1820,1
1821,1
1822,1
1823,1
1824,0
1825,1
1826,0
1827,1
1828,1
1829,1
1830,1
1831,0
1832,1
1833,0
1834,1
1835,1
1836,1
1837,0
1838,1
1839,1
1840,0
1841,0
1842,0
1843,0
1844,0
1845,1
1846,0
1847,1
1848,1
1849,1
1850,1
1851,0
1852,1
1853,0
1854,1
1855,1
1856,1
1857,0
1858,1
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,1
1866,1
1867,1
1868,0
1869,0
1870,1
1871,1
1872,1
1873,1
1874,1
1875,1
1876,1
1877,0
1878,1
1879,0
1880,1
1881,1
1882,1
1883,0
1884,1
1885,1
1886,1
1887,1
1888,1
1889,1
1890,0
1891,1
1892,0
1893,1
1894,0
1895,1
1896,1
1897,1
1898,0
1899,0
1900,0
1901,1
1902,1
1903,1
1904,1
1905,1
1906,0
1907,1
1908,1
1909,1
1910,1
1911,0
1912,1
1913,0
1914,1
1915,0
1916,0
1917,1
1918,0
1919,1
1920,1
1921,0
1922,0
1923,1
1924,1
1925,0
1926,0
1927,1
1928,1
1929,1
1930,0
1931,1
1932,0
1933,0
1934,0
1935,1
1936,0
1937,1
1938,1
1939,1
1940,0
1941,1
1942,0
1943,1
1944,1
1945,0
1946,0
1947,1
1948,0
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,0
1956,0
1957,1
1958,1
1959,0
1960,1
1961,0
1962,0
1963,0
1964,1
1965,1
1966,0
1967,1
1968,0
1969,1
1970,1
1971,1
1972,0
1973,1
1974,0
1975,0
1976,1
1977,0
1978,0
1979,1
1980,1
1981,1
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,1
1989,1
1990,1
1991,1
1992,0
1993,1
1994,0
1995,0
1996,1
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,1
2004,1
2005,1
2006,1
2007,0
2008,0
2009,0
2010,1
2011,1
2012,1
2013,0
2014,0
2015,1
2016,0
2017,1
2018,1
2019,1
2020,1
2021,0
2022,1
2023,1
2024,1
2025,1
2026,0
2027,1
2028,0
2029,1
2030,0
2031,1
2032,1
2033,0
2034,1
2035,0
2036,1
2037,0
2038,1
2039,1
2040,0
2041,1
2042,0
2043,1
2044,1
2045,0
2046,0
2047,1
2048,0
2049,1
2050,1
2051,0
2052,1
2053,1
2054,1
2055,0
2056,0
2057,1
2058,0
2059,1
2060,0
2061,0
2062,0
2063,0
2064,0
2065,1
2066,1
2067,1
2068,0
2069,0
2070,1
2071,1
2072,0
2073,1
2074,0
2075,0
2076,1
2077,0
2078,0
2079,1
2080,1
2081,0
2082,1
2083,0
2084,0
2085,1
2086,1
2087,0
2088,1
2089,0
2090,1
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2097,0
2098,0
2099,1
2100,1
2101,1
2102,1
2103,0
2104,0
2105,1
2106,0
2107,0
2108,1
2109,0
2110,0
2111,0
2112,0
2113,0
2114,1
2115,0
2116,0
2117,0
2118,0
2119,1
2120,1
2121,1
2122,0
2123,0
2124,1
2125,0
2126,1
2127,0
2128,1
2129,1
2130,0
2131,1
2132,0
2133,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,0
2144,0
2145,1
2146,1
2147,0
2148,1
2149,0
2150,0
2151,1
2152,1
2153,1
2154,1
2155,1
2156,1
2157,1
2158,1
2159,1
2160,1
2161,1
2162,0
2163,0
2164,1
2165,0
2166,0
2167,0
2168,0
2169,0
2170,1
2171,1
2172,0
2173,0
2174,1
2175,1
2176,1
2177,0
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,1
2194,0
2195,1
2196,1
2197,1
2198,0
2199,0
2200,1
2201,1
2202,1
2203,1
2204,1
2205,1
2206,0
2207,0
2208,0
2209,1
2210,1
2211,1
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,1
2221,0
2222,0
2223,0
2224,1
2225,0
2226,1
2227,1
2228,1
2229,0
2230,0
2231,1
2232,0
2233,1
2234,1
2235,0
2236,0
2237,1
2238,0
2239,0
2240,1
2241,1
2242,0
2243,1
2244,1
2245,0
2246,1
2247,0
2248,1
2249,0
2250,0
2251,0
2252,0
2253,0
2254,1
2255,1
2256,0
2257,1
2258,0
2259,1
2260,1
2261,0
2262,0
2263,1
2264,1
2265,1
2266,1
2267,1
2268,1
2269,1
2270,1
2271,0
2272,1
2273,0
2274,1
2275,0
2276,1
2277,0
2278,0
2279,1
2280,1
2281,0
2282,0
2283,0
2284,1
2285,1
2286,0
2287,1
2288,0
2289,1
2290,0
2291,0
2292,1
2293,1
2294,0
2295,0
2296,1
2297,0
2298,0
2299,0
2300,1
2301,0
2302,0
2303,0
2304,0
2305,0
2306,1
2307,0
2308,1
2309,1
2310,1
2311,0
2312,1
2313,0
2314,0
2315,0
2316,0
2317,0
2318,1
2319,0
2320,0
2321,1
2322,1
2323,1
2324,0
2325,1
2326,0
2327,0
2328,1
2329,0
2330,1
2331,1
2332,0
2333,1
2334,0
2335,0
2336,0
2337,0
2338,1
2339,1
2340,1
2341,1
2342,0
2343,0
2344,0
2345,1
2346,0
2347,0
2348,0
2349,0
2350,1
2351,0
2352,1
2353,1
2354,1
2355,1
2356,0
2357,0
2358,0
2359,1
2360,1
2361,0
2362,0
2363,1
2364,0
2365,0
2366,1
2367,1
2368,0
2369,0
2370,1
2371,0
2372,0
2373,0
2374,0
2375,1
2376,1
2377,1
2378,1
2379,0
2380,1
2381,0
2382,1
2383,1
2384,1
2385,1
2386,0
2387,0
2388,0
2389,0
2390,1
2391,0
2392,0
2393,0
2394,1
2395,1
2396,1
2397,1
2398,1
2399,0
2400,1
2401,1
2402,1
2403,1
2404,0
2405,0
2406,1
2407,1
2408,1
2409,0
2410,1
2411,0
2412,1
2413,1
2414,0
2415,0
2416,1
2417,1
2418,0
2419,0
2420,1
2421,1
2422,1
2423,1
2424,1
2425,0
2426,0
2427,0
2428,1
2429,1
2430,1
2431,1
2432,0
2433,0
2434,0
2435,0
2436,0
2437,0
2438,1
2439,1
2440,1
2441,1
2442,0
2443,0
2444,1
2445,1
2446,0
2447,1
2448,1
2449,0
2450,0
2451,1
2452,1
2453,1
2454,1
2455,0
2456,1
2457,1
2458,0
2459,0
2460,0
2461,0
2462,0
2463,0
2464,1
2465,0
2466,0
2467,0
2468,1
2469,1
2470,0
2471,0
2472,0
2473,1
2474,1
2475,1
2476,1
2477,0
2478,0
2479,0
2480,0
2481,1
2482,0
2483,1
2484,1
2485,0
2486,1
2487,1
2488,1
2489,1
2490,1
2491,0
2492,1
2493,1
2494,1
2495,1
2496,1
2497,1
2498,1
2499,0
2500,1
2501,1
2502,1
2503,0
2504,0
2505,0
2506,0
2507,1
2508,1
2509,1
2510,1
2511,1
2512,1
2513,0
2514,1
2515,1
2516,0
2517,0
2518,1
2519,0
2520,0
2521,0
2522,1
2523,1
2524,1
2525,0
2526,1
2527,1
2528,0
2529,0
2530,0
2531,1
2532,0
2533,1
2534,0
2535,1
2536,0
2537,0
2538,0
2539,1
2540,0
2541,0
2542,0
2543,0
2544,0
2545,1
2546,1
2547,0
2548,0
2549,0
2550,0
2551,0
2552,0
2553,1
2554,1
2555,1
2556,1
2557,1
2558,1
2559,1
2560,1
2561,0
2562,0
2563,0
2564,0
2565,0
2566,1
2567,1
2568,1
2569,0
2570,0
2571,1
2572,0
2573,1
2574,1
2575,0
2576,1
2577,1
2578,0
2579,1
2580,1
2581,1
2582,0
2583,0
2584,1
2585,1
2586,1
2587,0
2588,0
2589,1
2590,0
2591,1
2592,1
2593,1
2594,1
2595,0
2596,1
2597,0
2598,0
2599,0
2600,0
2601,0
2602,1
2603,1
2604,0
2605,1
2606,1
2607,0
2608,1
2609,0
2610,1
2611,0
2612,0
2613,1
2614,1
2615,1
2616,1
2617,0
2618,0
2619,0
2620,0
2621,1
2622,0
2623,0
2624,0
2625,1
2626,1
2627,0
2628,0
2629,0
2630,0
2631,0
2632,0
2633,1
2634,1
2635,1
2636,1
2637,0
2638,1
2639,0
2640,0
2641,1
2642,1
2643,0
2644,0
2645,1
2646,0
2647,1
2648,0
2649,1
2650,0
2651,1
2652,0
2653,1
2654,0
2655,0
2656,1
2657,0
2658,1
2659,0
2660,0
2661,1
2662,1
2663,0
2664,0
2665,0
2666,1
2667,1
2668,1
2669,0
2670,0
2671,0
2672,0
2673,0
2674,1
2675,1
2676,1
2677,0
2678,1
2679,0
2680,1
2681,0
2682,0
2683,0
2684,1
2685,1
2686,1
2687,1
2688,0
2689,0
2690,0
2691,0
2692,1
2693,1
2694,0
2695,1
2696,1
2697,0
2698,1
2699,0
2700,0
2701,1
2702,1
2703,0
2704,1
2705,1
2706,1
2707,0
2708,1
2709,0
2710,1
2711,1
2712,1
2713,0
2714,1
2715,1
2716,1
2717,0
2718,0
2719,1
2720,1
2721,1
2722,1
2723,1
2724,0
2725,1
2726,0
2727,0
2728,0
2729,1
2730,0
2731,1
2732,0
2733,0
2734,1
2735,0
2736,0
2737,1
2738,0
2739,0
2740,0
2741,0
2742,0
2743,0
2744,0
2745,0
2746,1
2747,1
2748,0
2749,0
2750,0
2751,1
2752,1
2753,0
2754,0
2755,1
2756,0
2757,1
2758,0
2759,0
2760,1
2761,0
2762,0
2763,0
2764,0
2765,0
2766,1
2767,0
2768,0
2769,0
2770,0
2771,0
2772,0
2773,1
2774,0
2775,1
2776,1
2777,0
2778,0
2779,1
2780,0
2781,1
2782,0
2783,0
2784,0
2785,1
2786,0
2787,0
2788,1
2789,1
2790,0
2791,0
2792,1
2793,0
2794,1
2795,0
2796,1
2797,1
2798,0
2799,0
2800,1
2801,1
2802,0
2803,1
2804,1
2805,1
2806,0
2807,1
2808,0
2809,1
2810,0
2811,1
2812,1
2813,0
2814,1
2815,0
2816,1
2817,0
2818,1
2819,1
2820,0
2821,1
2822,1
2823,0
2824,0
2825,0
2826,1
2827,0
2828,1
2829,1
2830,1
2831,1
2832,1
2833,0
2834,0
2835,0
2836,0
2837,1
2838,0
2839,1
2840,1
2841,1
2842,0
2843,1
2844,1
2845,1
2846,1
2847,0
2848,1
2849,0
2850,0
2851,1
2852,1
2853,1
2854,0
2855,1
2856,0
2857,1
2858,1
2859,0
2860,0
2861,1
2862,1
2863,0
2864,1
2865,0
2866,1
2867,0
2868,0
2869,0
2870,1
2871,0
2872,0
2873,0
2874,0
2875,1
2876,1
2877,0
2878,0
2879,0
2880,1
2881,0
2882,1
2883,1
2884,1
2885,1
2886,1
2887,0
2888,0
2889,0
2890,0
2891,0
2892,1
2893,0
2894,1
2895,1
2896,1
2897,1
2898,0
2899,0
2900,0
2901,0
2902,0
2903,1
2904,0
2905,0
2906,0
2907,1
2908,0
2909,0
2910,1
2911,1
2912,1
2913,0
2914,0
2915,0
2916,1
2917,1
2918,1
2919,0
2920,1
2921,1
2922,1
2923,1
2924,1
2925,0
2926,0
2927,1
2928,1
2929,0
2930,0
2931,0
2932,1
2933,1
2934,1
2935,0
2936,0
2937,0
2938,0
2939,0
2940,0
2941,0
2942,0
2943,1
2944,0
2945,1
2946,0
2947,1
2948,0
2949,0
2950,1
2951,0
2952,0
2953,1
2954,1
2955,1
2956,0
2957,0
2958,0
2959,0
2960,1
2961,0
2962,1
2963,1
2964,1
2965,0
2966,1
2967,0
2968,1
2969,0
2970,0
2971,0
2972,1
2973,0
2974,1
2975,1
2976,0
2977,1
2978,0
2979,1
2980,1
2981,1
2982,1
2983,0
2984,0
2985,1
2986,0
2987,0
2988,1
2989,1
2990,1
2991,1
2992,1
2993,0
2994,1
2995,1
2996,0
2997,0
