idx,class
756,RightWhale
757,RightWhale
758,RightWhale
759,RightWhale
760,RightWhale
761,NoWhale
762,NoWhale
763,RightWhale
764,NoWhale
765,NoWhale
766,RightWhale
767,RightWhale
768,RightWhale
769,NoWhale
770,RightWhale
771,RightWhale
772,RightWhale
773,RightWhale
774,RightWhale
775,RightWhale
776,NoWhale
777,NoWhale
778,RightWhale
779,RightWhale
780,NoWhale
781,NoWhale
782,RightWhale
783,NoWhale
784,NoWhale
785,RightWhale
786,NoWhale
787,RightWhale
788,NoWhale
789,RightWhale
790,RightWhale
791,NoWhale
792,RightWhale
793,RightWhale
794,NoWhale
795,NoWhale
796,RightWhale
797,NoWhale
798,NoWhale
799,NoWhale
800,RightWhale
801,NoWhale
802,NoWhale
803,NoWhale
804,RightWhale
805,NoWhale
806,RightWhale
807,NoWhale
808,RightWhale
809,NoWhale
810,RightWhale
811,NoWhale
812,RightWhale
813,RightWhale
814,RightWhale
815,NoWhale
816,NoWhale
817,RightWhale
818,RightWhale
819,RightWhale
820,NoWhale
821,NoWhale
822,RightWhale
823,RightWhale
824,RightWhale
825,NoWhale
826,NoWhale
827,RightWhale
828,NoWhale
829,RightWhale
830,NoWhale
831,RightWhale
832,RightWhale
833,NoWhale
834,NoWhale
835,NoWhale
836,NoWhale
837,NoWhale
838,NoWhale
839,RightWhale
840,RightWhale
841,NoWhale
842,RightWhale
843,NoWhale
844,RightWhale
845,NoWhale
846,NoWhale
847,NoWhale
848,NoWhale
849,NoWhale
850,RightWhale
851,NoWhale
852,NoWhale
853,NoWhale
854,RightWhale
855,RightWhale
856,RightWhale
857,RightWhale
858,RightWhale
859,RightWhale
860,NoWhale
861,NoWhale
862,NoWhale
863,NoWhale
864,NoWhale
865,NoWhale
866,NoWhale
867,NoWhale
868,RightWhale
869,NoWhale
870,NoWhale
871,RightWhale
872,NoWhale
873,NoWhale
874,NoWhale
875,RightWhale
876,NoWhale
877,NoWhale
878,NoWhale
879,RightWhale
880,NoWhale
881,NoWhale
882,NoWhale
883,RightWhale
884,RightWhale
885,NoWhale
886,RightWhale
887,RightWhale
888,NoWhale
889,RightWhale
890,NoWhale
891,NoWhale
892,RightWhale
893,RightWhale
894,NoWhale
895,NoWhale
896,NoWhale
897,RightWhale
898,NoWhale
899,NoWhale
900,NoWhale
901,NoWhale
902,RightWhale
903,RightWhale
904,RightWhale
905,NoWhale
906,NoWhale
907,NoWhale
908,NoWhale
909,RightWhale
910,RightWhale
911,RightWhale
912,RightWhale
913,NoWhale
914,NoWhale
915,NoWhale
916,NoWhale
917,RightWhale
918,RightWhale
919,RightWhale
920,NoWhale
921,NoWhale
922,RightWhale
923,NoWhale
924,NoWhale
925,NoWhale
926,NoWhale
927,NoWhale
928,RightWhale
929,NoWhale
930,RightWhale
931,NoWhale
932,RightWhale
933,RightWhale
934,NoWhale
935,RightWhale
936,NoWhale
937,NoWhale
938,RightWhale
939,RightWhale
940,NoWhale
941,NoWhale
942,RightWhale
943,RightWhale
944,RightWhale
945,NoWhale
946,RightWhale
947,RightWhale
948,RightWhale
949,RightWhale
950,RightWhale
951,RightWhale
952,NoWhale
953,NoWhale
954,NoWhale
955,RightWhale
956,NoWhale
957,NoWhale
958,RightWhale
959,RightWhale
960,RightWhale
961,NoWhale
962,RightWhale
963,RightWhale
964,NoWhale
965,NoWhale
966,NoWhale
967,RightWhale
968,RightWhale
969,RightWhale
970,NoWhale
971,NoWhale
972,RightWhale
973,NoWhale
974,RightWhale
975,RightWhale
976,RightWhale
977,RightWhale
978,RightWhale
979,RightWhale
980,NoWhale
981,NoWhale
982,RightWhale
983,NoWhale
984,NoWhale
985,RightWhale
986,NoWhale
987,NoWhale
988,RightWhale
989,NoWhale
990,RightWhale
991,RightWhale
992,NoWhale
993,RightWhale
994,NoWhale
995,RightWhale
996,RightWhale
997,RightWhale
998,NoWhale
999,NoWhale
1000,NoWhale
1001,NoWhale
1002,NoWhale
1003,NoWhale
1004,RightWhale
1005,NoWhale
1006,NoWhale
1007,NoWhale
1008,RightWhale
1009,NoWhale
1010,RightWhale
1011,RightWhale
1012,RightWhale
1013,RightWhale
1014,RightWhale
1015,RightWhale
1016,NoWhale
1017,RightWhale
1018,RightWhale
1019,NoWhale
1020,NoWhale
1021,NoWhale
1022,NoWhale
1023,NoWhale
1024,RightWhale
1025,RightWhale
1026,RightWhale
1027,RightWhale
1028,NoWhale
1029,NoWhale
1030,RightWhale
1031,RightWhale
1032,RightWhale
1033,RightWhale
1034,NoWhale
1035,RightWhale
1036,RightWhale
1037,NoWhale
1038,RightWhale
1039,RightWhale
1040,NoWhale
1041,NoWhale
1042,RightWhale
1043,NoWhale
1044,RightWhale
1045,NoWhale
1046,RightWhale
1047,NoWhale
1048,RightWhale
1049,NoWhale
1050,RightWhale
1051,NoWhale
1052,NoWhale
1053,NoWhale
1054,NoWhale
1055,RightWhale
1056,RightWhale
1057,NoWhale
1058,NoWhale
1059,RightWhale
1060,RightWhale
1061,RightWhale
1062,RightWhale
1063,RightWhale
1064,RightWhale
1065,RightWhale
1066,NoWhale
1067,RightWhale
1068,NoWhale
1069,RightWhale
1070,NoWhale
1071,RightWhale
1072,NoWhale
1073,NoWhale
1074,RightWhale
1075,NoWhale
1076,RightWhale
1077,RightWhale
1078,NoWhale
1079,NoWhale
1080,RightWhale
1081,RightWhale
1082,RightWhale
1083,RightWhale
1084,RightWhale
1085,RightWhale
1086,RightWhale
1087,NoWhale
1088,NoWhale
1089,RightWhale
1090,RightWhale
1091,NoWhale
1092,RightWhale
1093,RightWhale
1094,RightWhale
1095,NoWhale
1096,RightWhale
1097,NoWhale
1098,NoWhale
1099,NoWhale
1100,NoWhale
1101,NoWhale
1102,RightWhale
1103,RightWhale
1104,NoWhale
1105,NoWhale
1106,NoWhale
1107,RightWhale
1108,NoWhale
1109,RightWhale
1110,NoWhale
1111,RightWhale
1112,RightWhale
1113,NoWhale
1114,NoWhale
1115,NoWhale
1116,RightWhale
1117,RightWhale
1118,NoWhale
1119,RightWhale
1120,RightWhale
1121,NoWhale
1122,NoWhale
1123,RightWhale
1124,RightWhale
1125,RightWhale
1126,RightWhale
1127,RightWhale
1128,NoWhale
1129,NoWhale
1130,NoWhale
1131,RightWhale
1132,NoWhale
1133,NoWhale
1134,NoWhale
1135,NoWhale
1136,RightWhale
1137,RightWhale
1138,NoWhale
1139,RightWhale
1140,RightWhale
1141,NoWhale
1142,RightWhale
1143,NoWhale
1144,NoWhale
1145,NoWhale
1146,RightWhale
1147,NoWhale
1148,NoWhale
1149,RightWhale
1150,RightWhale
1151,RightWhale
1152,NoWhale
1153,RightWhale
1154,RightWhale
1155,RightWhale
1156,NoWhale
1157,NoWhale
1158,RightWhale
1159,RightWhale
1160,NoWhale
1161,RightWhale
1162,NoWhale
1163,NoWhale
1164,NoWhale
1165,RightWhale
1166,RightWhale
1167,NoWhale
1168,RightWhale
1169,NoWhale
1170,RightWhale
1171,RightWhale
1172,RightWhale
1173,RightWhale
1174,NoWhale
1175,RightWhale
1176,NoWhale
1177,NoWhale
1178,RightWhale
1179,RightWhale
1180,RightWhale
1181,NoWhale
1182,NoWhale
1183,RightWhale
1184,NoWhale
1185,NoWhale
1186,RightWhale
1187,RightWhale
1188,NoWhale
1189,RightWhale
1190,NoWhale
1191,RightWhale
1192,RightWhale
1193,NoWhale
1194,NoWhale
1195,RightWhale
1196,NoWhale
1197,NoWhale
1198,NoWhale
1199,RightWhale
1200,NoWhale
1201,RightWhale
1202,NoWhale
1203,NoWhale
1204,RightWhale
1205,RightWhale
1206,NoWhale
1207,NoWhale
1208,RightWhale
1209,RightWhale
1210,NoWhale
1211,RightWhale
1212,RightWhale
1213,NoWhale
1214,RightWhale
1215,RightWhale
1216,NoWhale
1217,RightWhale
1218,RightWhale
1219,NoWhale
1220,NoWhale
1221,NoWhale
1222,RightWhale
1223,RightWhale
1224,NoWhale
1225,RightWhale
1226,RightWhale
1227,NoWhale
1228,RightWhale
1229,NoWhale
1230,RightWhale
1231,NoWhale
1232,NoWhale
1233,NoWhale
1234,NoWhale
1235,RightWhale
1236,RightWhale
1237,RightWhale
1238,RightWhale
1239,NoWhale
1240,RightWhale
1241,NoWhale
1242,RightWhale
1243,NoWhale
1244,RightWhale
1245,RightWhale
1246,NoWhale
1247,RightWhale
1248,NoWhale
1249,RightWhale
1250,RightWhale
1251,NoWhale
1252,RightWhale
1253,RightWhale
1254,RightWhale
1255,RightWhale
1256,NoWhale
1257,RightWhale
1258,NoWhale
1259,RightWhale
1260,RightWhale
1261,NoWhale
1262,NoWhale
1263,NoWhale
1264,RightWhale
1265,RightWhale
1266,RightWhale
1267,NoWhale
1268,RightWhale
1269,RightWhale
1270,RightWhale
1271,RightWhale
1272,NoWhale
1273,NoWhale
1274,NoWhale
1275,NoWhale
1276,NoWhale
1277,RightWhale
1278,NoWhale
1279,RightWhale
1280,NoWhale
1281,RightWhale
1282,NoWhale
1283,RightWhale
1284,NoWhale
1285,RightWhale
1286,RightWhale
1287,RightWhale
1288,NoWhale
1289,NoWhale
1290,RightWhale
1291,RightWhale
1292,NoWhale
1293,NoWhale
1294,RightWhale
1295,NoWhale
1296,NoWhale
1297,NoWhale
1298,RightWhale
1299,NoWhale
1300,RightWhale
1301,NoWhale
1302,NoWhale
1303,NoWhale
1304,NoWhale
1305,RightWhale
1306,NoWhale
1307,RightWhale
1308,RightWhale
1309,NoWhale
1310,RightWhale
1311,RightWhale
1312,NoWhale
1313,NoWhale
1314,NoWhale
1315,RightWhale
1316,NoWhale
1317,NoWhale
1318,RightWhale
1319,NoWhale
1320,RightWhale
1321,NoWhale
1322,NoWhale
1323,RightWhale
1324,RightWhale
1325,NoWhale
1326,RightWhale
1327,NoWhale
1328,NoWhale
1329,RightWhale
1330,RightWhale
1331,NoWhale
1332,NoWhale
1333,RightWhale
1334,NoWhale
1335,NoWhale
1336,RightWhale
1337,RightWhale
1338,RightWhale
1339,NoWhale
1340,NoWhale
1341,RightWhale
1342,RightWhale
1343,RightWhale
1344,RightWhale
1345,RightWhale
1346,RightWhale
1347,RightWhale
1348,NoWhale
1349,NoWhale
1350,RightWhale
1351,NoWhale
1352,RightWhale
1353,RightWhale
1354,NoWhale
1355,NoWhale
1356,RightWhale
1357,RightWhale
1358,NoWhale
1359,NoWhale
1360,RightWhale
1361,RightWhale
1362,RightWhale
1363,NoWhale
1364,NoWhale
1365,NoWhale
1366,RightWhale
1367,NoWhale
1368,RightWhale
1369,NoWhale
1370,RightWhale
1371,NoWhale
1372,NoWhale
1373,NoWhale
1374,NoWhale
1375,NoWhale
1376,NoWhale
1377,NoWhale
1378,RightWhale
1379,NoWhale
1380,RightWhale
1381,RightWhale
1382,NoWhale
1383,NoWhale
1384,NoWhale
1385,NoWhale
1386,NoWhale
1387,RightWhale
1388,RightWhale
1389,RightWhale
1390,RightWhale
1391,NoWhale
1392,RightWhale
1393,RightWhale
1394,NoWhale
1395,NoWhale
1396,RightWhale
1397,NoWhale
1398,RightWhale
1399,RightWhale
1400,RightWhale
1401,NoWhale
1402,RightWhale
1403,NoWhale
1404,RightWhale
1405,NoWhale
1406,RightWhale
1407,RightWhale
1408,NoWhale
1409,RightWhale
1410,NoWhale
1411,NoWhale
1412,RightWhale
1413,NoWhale
1414,RightWhale
1415,RightWhale
1416,NoWhale
1417,RightWhale
1418,NoWhale
1419,NoWhale
1420,RightWhale
1421,RightWhale
1422,RightWhale
1423,NoWhale
1424,RightWhale
1425,RightWhale
1426,RightWhale
1427,NoWhale
1428,NoWhale
1429,NoWhale
1430,NoWhale
1431,RightWhale
1432,NoWhale
1433,NoWhale
1434,RightWhale
1435,NoWhale
1436,NoWhale
1437,RightWhale
1438,NoWhale
1439,RightWhale
1440,RightWhale
1441,NoWhale
1442,RightWhale
1443,RightWhale
1444,RightWhale
1445,RightWhale
1446,RightWhale
1447,NoWhale
1448,NoWhale
1449,NoWhale
1450,NoWhale
1451,NoWhale
1452,RightWhale
1453,RightWhale
1454,NoWhale
1455,RightWhale
1456,RightWhale
1457,RightWhale
1458,RightWhale
1459,RightWhale
1460,RightWhale
1461,RightWhale
1462,RightWhale
1463,RightWhale
1464,RightWhale
1465,RightWhale
1466,RightWhale
1467,NoWhale
1468,NoWhale
1469,RightWhale
1470,NoWhale
1471,RightWhale
1472,NoWhale
1473,NoWhale
1474,RightWhale
1475,NoWhale
1476,NoWhale
1477,NoWhale
1478,NoWhale
1479,RightWhale
1480,RightWhale
1481,RightWhale
1482,NoWhale
1483,RightWhale
1484,NoWhale
1485,NoWhale
1486,RightWhale
1487,NoWhale
1488,NoWhale
1489,RightWhale
1490,RightWhale
1491,RightWhale
1492,RightWhale
1493,RightWhale
1494,RightWhale
1495,NoWhale
1496,NoWhale
1497,NoWhale
1498,NoWhale
1499,NoWhale
1500,NoWhale
1501,RightWhale
1502,RightWhale
1503,NoWhale
1504,NoWhale
1505,RightWhale
1506,RightWhale
1507,NoWhale
1508,NoWhale
1509,RightWhale
1510,RightWhale
1511,RightWhale
1512,RightWhale
1513,NoWhale
1514,RightWhale
1515,RightWhale
1516,NoWhale
1517,NoWhale
1518,NoWhale
1519,NoWhale
1520,NoWhale
1521,NoWhale
1522,NoWhale
1523,NoWhale
1524,NoWhale
1525,NoWhale
1526,RightWhale
1527,NoWhale
1528,NoWhale
1529,NoWhale
1530,NoWhale
1531,NoWhale
1532,NoWhale
1533,RightWhale
1534,RightWhale
1535,NoWhale
1536,RightWhale
1537,NoWhale
1538,NoWhale
1539,RightWhale
1540,NoWhale
1541,NoWhale
1542,NoWhale
1543,RightWhale
1544,RightWhale
1545,RightWhale
1546,RightWhale
1547,RightWhale
1548,NoWhale
1549,RightWhale
1550,RightWhale
1551,NoWhale
1552,NoWhale
1553,NoWhale
1554,RightWhale
1555,NoWhale
1556,NoWhale
1557,RightWhale
1558,NoWhale
1559,RightWhale
1560,RightWhale
1561,RightWhale
1562,NoWhale
1563,RightWhale
1564,NoWhale
1565,NoWhale
1566,RightWhale
1567,NoWhale
1568,NoWhale
1569,NoWhale
1570,RightWhale
1571,NoWhale
1572,NoWhale
1573,RightWhale
1574,RightWhale
1575,NoWhale
1576,NoWhale
1577,RightWhale
1578,NoWhale
1579,RightWhale
1580,NoWhale
1581,NoWhale
1582,RightWhale
1583,NoWhale
1584,NoWhale
1585,NoWhale
1586,RightWhale
1587,RightWhale
1588,NoWhale
1589,RightWhale
1590,NoWhale
1591,NoWhale
1592,RightWhale
1593,NoWhale
1594,RightWhale
1595,NoWhale
1596,NoWhale
1597,NoWhale
1598,RightWhale
1599,NoWhale
1600,RightWhale
1601,NoWhale
1602,NoWhale
1603,NoWhale
1604,NoWhale
1605,NoWhale
1606,NoWhale
1607,RightWhale
1608,RightWhale
1609,NoWhale
1610,NoWhale
1611,NoWhale
1612,RightWhale
1613,RightWhale
1614,RightWhale
1615,RightWhale
1616,NoWhale
1617,RightWhale
1618,RightWhale
1619,RightWhale
1620,RightWhale
1621,RightWhale
1622,RightWhale
1623,NoWhale
1624,RightWhale
1625,RightWhale
1626,NoWhale
1627,RightWhale
1628,RightWhale
1629,NoWhale
1630,RightWhale
1631,NoWhale
1632,RightWhale
1633,RightWhale
1634,RightWhale
1635,RightWhale
1636,NoWhale
1637,RightWhale
1638,NoWhale
1639,RightWhale
1640,NoWhale
1641,NoWhale
1642,NoWhale
1643,RightWhale
1644,RightWhale
1645,NoWhale
1646,NoWhale
1647,NoWhale
1648,NoWhale
1649,RightWhale
1650,RightWhale
1651,NoWhale
1652,NoWhale
1653,NoWhale
1654,NoWhale
1655,RightWhale
1656,NoWhale
1657,NoWhale
1658,NoWhale
1659,NoWhale
1660,RightWhale
1661,NoWhale
1662,NoWhale
1663,RightWhale
1664,NoWhale
